,title,project,price,time
100,تسويق لتطبيق ومتجر متعدد الاقسام,"المهارات المطلوبه المسوق الإلكتروني ومصمم البنرات:
إيجاد حلول مبتكره في رفع المبيعات وقناع العملاء وهذي اهم نقطة
تطوير محركات البحث مهمه جدا جدا
تحليل السوق:
دراسة السوق وتحليل الاتجاهات لفهم احتياجات العملاء وتوقع المستقبل.
إعداد استراتيجيات التسويق:
وضع خطط استراتيجية لتعزيز المنتجات أو الخدمات.
إدارة وسائل التواصل الاجتماعي:
إدارة حسابات وسائل التواصل الاجتماعي لتعزيز العلامة التجارية والتفاعل مع الجمهور.
تنظيم حملات الإعلان عبر الإنترنت:
إطلاق حملات إعلانية مستهدفة عبر محركات البحث ووسائل التواصل الاجتماعي.
تحليل البيانات:
استخدام البيانات لتقييم فعالية الحملات وتحديد المجالات التي يمكن تحسينها.
لمصمم البنرات:
تصميم البنرات:
إنشاء بنرات إبداعية وجذابة للاستخدام في حملات التسويق الرقمي.
تنسيق الصور:
تحرير وتنسيق الصور بطريقة تجعلها جاذبة وتعبر عن الرسالة المرادة.
مراعاة التصميم المتجاوب:
ضمان أن التصميم يتجاوب مع مختلف أحجام الشاشات والأجهزة.
تنفيذ توجيهات التسويق:
تحويل أفكار التسويق إلى تصاميم فعّالة ومؤثرة.
تعديل التصاميم حسب الحاجة:
إجراء التعديلات اللازمة بناءً على ملاحظات العملاء أو استراتيجيات التسويق.
والأهم من هذا كله يكون فيه نتائح مبهره",$100.00 - $250.00,30 يوما
101,مسوق إلكتروني للسوشيال ميديا,"مطلوب مسوق إلكتروني خبير في السوشال ميديا تحديدا سناب شات وإنستقرام
متخصص في الإعلانات الممولة وإدارة الحملات (كامبين) لإنشاء حملات إعلانية ممولة لشركة تصميم داخلي (ديكور)
لإنشاء إعلان تجريبي واذا كان العائد مجدي ومقنع سوف يتم التعاقد بشكل مستمر ورفع الميزانية",$25.00 - $50.00,5 أيام
102,كتابة مقالات متوافقه مع السيو,"مطلوب كتابة محتوى متوافق مع SEO
- لا يسمح بالنسخ المباشر أو النقل من أي محتوى عربي، ولا حتى الترجمة المباشرة من أي محتوى أجنبي. (نستخدم أداة للكشف عن النسخ أو الترجمة)
يكون المحتوى متوافق مع قواعد السيو
المحتوى راح يكون عن مخلفات البناء والهندسة الكهربائية والميكانيكية
المحتوى يتكون من عدد 10 مقالات لا يقل المقال عن 500 كلمة
- استخدام لغة عربية فصيحة سليمة، مع تحري الدقة والالتزام بتجنب الأخطاء اللغوية والنحوية، والاستخدام الأمثل لعلامات الترقيم.
- الحرص على تناسق اللغة والفقرات بما يراعي قواعد الكتابة على الإنترنت.",$50.00 - $100.00,4 أيام
103,مشروع إعلان سناب وتيك توك,أحتاج أعمل إعلان مدفوع سناب وتيك توك,$25.00 - $50.00,2 يومين
104,إطلاق حملة إعلانية و متابعة الحملة لمدة 3 ايام,تجهيز ودراسة الحملة وكتابة المحتوى وإطلاقها على سناب شات,$25.00 - $50.00,7 أيام
105,كتابة محتوى تسويقي,"السلام عليكم ورحمة الله وبركاته.
أبحث عن مستقل لشغل وظيفة كاتب محتوى خاص بمجال عملنا الذي سنوافيكم به لاحقا...
كل ما نود توفره هو القدرة على أداء المهام التالية:
- كتابة المحتوى التسويقي.
- عمل خطة المحتوى التسويقي الخاصة بقسم التسويق الرقمي
- إدارة وكتابة محتوى الموقع الإلكتروني.-
كتابة محتوى السوشيال ميديا وإدارة النشر عليها.
- كتابة المحتوى الفني والمرئي ومتابعة المنتج النهائي من (فيديوهات وتصاميم).
سنترك لكم ملف يحتوي على الوصف الوظيفي بشكل كامل...
من لديه القدرة على أداء هذه المهام وغيرها يرجى تكرما التواصل معنا وإرسال نماذج عمل سابقة حتى يتسنى لنا إجراء المقابلات معكم.
docx وصف-وظيفي-كتابة…الالكتروني.docx (26.49KB)",$250.00 - $500.00,10 أيام
106,إدارة متجر عطور,"إدارة متجر عطور
قوقل أدس
سيو
حملات قوقل
اذكر ما يمكنك تقديمه مقابل قيمة عرضك",$25.00 - $50.00,1 يوم
107,مختص تسويق الكتروني على منصات التواصل الاجتماعي,"مطلوب مسوق الكتروني محترف بخبرة اكثر من 5 سنوات في هذا العمل
المطلوب من المستقل
انشاء حملات اعلانية على منصات التواصل الاجتماعي ومتابعتها وادارتها وتقديم التقارير اللازمة.",$500.00 - $1000.00,30 يوما
108,عمل إعلان ممول لتطبيق رياضي,ابحث عن معلن محترف لعمل اعلان ممول علي جوجل لتحميل تطبيق رياضي خاص ب عرض مواعيد المباريات والنتائج واخر الاخبار علي أن يكون المعلن لدية الخبرة الكافيه لعمل ذلك ويكون قد سبق وعمل اعلان مماثل للتأكد من تحقيق أقصي استفادة من الإعلان,$25.00 - $50.00,15 يوما
109,عمل إعلان ممول على السناب شات,"السلام عليكم
لدي متجر اشتراكات اي بي تي في
ارغب بعمل حمله اعلانيه على السناب شات لمدة شهر كامل
وارغب بشخص لديه الامكانيه بان ينزل الحمله ويتم قبولها ويديرها باحترافيه لمدة شهر كامل
يوجد مشكله بان اكثر من شخص تواصلت معهم ولم يتمكنو من عمل الحمله بسبب الرفض من السناب فهناك صعوبه تحتاج شخص قد اشتغلها من قبل
الرجاء يا اخوان مايتواصل معي اللا الشخص اللي قد سوا حمله لمتجر مشابه بالسناب شات
متجري مختص باشتراكات اي بي تي في
بالتوفيق للجميع
قنوات الإعلان
سناب شات
المعلومات المتوفرة
leos30.com
المطلوب استلامه
تنفيذ وادارة الاعلان لمدة شهر",$250.00 - $500.00,1 يوم
110,إدارة حساب في أمازون السعودي,"أهلًا
لدينا متجر الكتروني ، وأحد نقاط البيع هي أمازون السعودية.
نحتاج لشخص خبير في هذا المجال لإدارته وتنفيذ استراتيجيات لزيادة المبيعات .
أحتاج شخص خبير
كرمًا إرفاق الأعمال السابق",$50.00 - $100.00,30 يوما
111,محرر لقناة يوتيوب,"العمل سيكون التركيز الرئيسي للوظيفة هو التحرير الرأسي لـ tiktok وyt shorts وreels وfb وغيرها! الهدف هو أن تكون قادرًا على التعامل مع أنواع مختلفة متعددة من المحتوى. الميمات، رواية القصص (خطاف وسيناريو جيد)، المونتاج، الاتجاهات، ردود التعليقات، المقاطع الفردية. نريد أن ننشر كثيرًا وأن نكون في المقدمة حتى لا يكون هناك اندفاع وكل شيء سوف يتدفق بسلاسة.
المهام الوظيفية
متطلبات العمل تحرير النموذج القصير والطويل الذي يستهدف إلى حد ما الجمهور الأكبر سنًا ولكن يمكن للمشاهدين الأصغر سنًا مشاهدته أيضًا! مصممة للجميع. كتابة السيناريو جيدة! يجب أن يكون ربط وجذابة! يمكن أن تكون قادرًا على العثور على ميمات رائعة، ورواية قصص (خطاف ونص جيد)، والمونتاج، والاتجاهات، والردود على التعليقات، ومقاطع فردية وتحويلها إلى منشور رائع!
هام جدا
https://docs.google.com/d...
عينة من مقاطع فيديو يوتيوب
https://youtube.com/watch...
https://youtube.com/watch...",$50.00 - $100.00,30 يوما
112,تسويق إلكتروني لشركة,ابحث عن مسوق محترف لشركتى الخاصه بتصميم المواقع والمتاجر ويشترط الخبره والاعمال السابقه,$50.00 - $100.00,10 أيام
113,تحليل الإعلانات وتقييم جودتها ومدى تلبيتها لحاجيات المستخدم,"طبيعة المشروع: يضم هدا المشورع العديد من التاسكات ولكل تاسك جايدلاينز خاص به, بعض التاسكات عبارة عن تقييم للإعلانات ومدى استجابتها ومطابقتها لرغبات المستخدم
متطلبات المشروع:
اتقان للغة الفرنسية B1 والانجليزية B2
حاسوب ويندوز 10 او اعلى,
التفرغ للعمل من 15-30 س في الاسبوع
المرجو ذكر إن كانت لك تجارب في مشاريع شبيهة
من الاشياء التي تساعد على النجاح في هذا المشروع التوفر على خبرة في التعامل مع الإعلانات ADS (مثل فيسبوك أدز إالخ) والقدرة على تحليل معطيات المواقع و على التمييز بين المواقع دات high/low authority
الاسبوع الاول يخصص للتدريب على الجايدلاينز والكويزات, وفي النهاية يكون اختبار شامل قبل القبول في المشروع (المشروع يمتد لأكثر من ستة أشهر)
الساعة ب تلاتة دولر",$100.00 - $250.00,30 يوما
114,مطلوب تنفيذ حملة شهرية- تسويق إلكتروني,"مرحبا،
محتاج من الأعزاء إذا امكن تقديم حملة تسويق إلكترونيه شهريه لأطباء والمطلوب كالاتي:
١. تاسيس صفحه فيس بوك وانستا مع لوكو ومعلومات
٢. عمل خطة تسويقيه شامله مع brandings متكامل
٣. عمل من ١٠- ١٥ بوست ثابت معلوماتي وتعريفي عن الطبيب والعياده
٤.عمل ٢- ٣ فديو مع المونتاج تعريف عن العياده وتخصص الطبيب والأمراض الي يعالجها
٥. الترويج حسب رغبة الطبيب مع ادارة الصفحات
اتمنى من لديه القدرة على العمل إضافة عرضه
قنوات الإعلان
انستا وفيسبوك",$100.00 - $250.00,15 يوما
115,صناعة محتوى تيك توك لمتجر,"ابحث عن شخص يقدر يصنع محتوى تيك توك لمنتجات في متجر لزيادة التفاعل و زيارات المتجر وجذب العميل
ارجو لايقدم الى عنده خبره واعمال سابقة",$25.00 - $50.00,7 أيام
116,إدارة حساب نون وأمازون وكارفور,"السلام عليكم ورحمة الله وبركاته
ارغب بتعيين شخص يدير حسابي في موقع نون حاليا ومستقبلا في امازون وفورديل
يقوم باختيار المنتجات الرابحة في ملف اكسل واضافتها لكتالوج الشريك حسب الطلب
تحديد مواعيد ادخال المنتجات لمخازن نون
الرد على الايميلات والتفاوض على التعويضات
إدارة التقييمات
عمل التقارير المالية اللازمة
يجب ان يمتلك المعرفة مسبقا في إدارة حسابات موقع نون وامازون",$100.00 - $250.00,30 يوما
117,خبير تسويق بريد الكتروني,"السلام عليكم يا محترفي مستقل
ساقوم بالتسويق عبر البريد الالكتروني لترويج عن خدمات مكتب ادارة مشاريع ولا ارغب في ان تتحول الرسائل المرسلة الى بريد الغير مرغوب فيه ( spam)
المطلوب
1-خبير تسويق لتجهيز محتوى الايميل متوافق مع الشروط للوصول الى ال inbox
2- تقديم النصائح لتفادي ال spam",$25.00 - $50.00,1 يوم
118,تسويق حملات اتصالات,فتح ادارة حساب في قوقل ادز وقوقل ماب وكيفية التعامل مع الحساب لجلب حملة اتصالات,$100.00 - $250.00,30 يوما
119,تسويق من خلال الإيميل لخدماتنا,"احتاج إرسال 50 cold email لشركات مختلفة لعرض خدماتنا لهم )تصميم( والمتابعة معهم صوتيا او عن طريق الشات او الرد على الإيميلات.
جميع التفاصيل سترسل بشكل خاص.
المهارات المطلوبة :
-اللباقة وسرعة الرد
-مهارات العرض واللإقناع
-مهارات البيع
ملحوظة نص الرسالة وكل شيء سيتم إرساله موجود ، مطلوب بس تعديلها لترسل بشكل شخصي لكل شركة بعد جمع معلومات عنها
فضلاً اعرض مهاراتك وسيتم التواصل معك. وسيتم توظيف اكثر من شخص
ضع ميزانيتك المناسبة ولا تلفت للموضوعة هنا",$250.00 - $500.00,30 يوما
120,إدارة صفحة إلكترونية مع تنسيق المحتوى ومتابعته,"تصميم موقع احترافي مع تنسيق المحتوى والعمل على عليه
المطلوب استلامه
صفحة الكترونية بواجهة حضارية منسقة ومرتبة",$25.00 - $50.00,5 أيام
121,إدارة حساب متجر على الانستقرام,إدارة حساب متجر في الانستقرام,$100.00 - $250.00,30 يوما
122,مسوقة ومسؤولة سوشال ميديا لمشروع مبتدىء,"مطلوب مسوقة متمكنة تقوم بإطلاق حملة تسويقية وتكون مسؤولة عن حسابات السوشال ميديا لمشروع مبتدئ متجر جلابيات
وضح بعرضك حجم العمل الذي تقدمه مقابل قيمة عرضك
منصات التواصل الاجتماعي
تيك توك ....
المعلومات المتوفرة
مستعدة اعطي المسوقة ماتحتاج من الروابط
المطلوب استلامه
ليس لدي خطة اريد فاهمة في الموضوع ترشدني",$50.00 - $100.00,30 يوما
123,مطلوب موظف مبيعات لتسويق باكجات سياحية,"مرحبا
لدينا عملاء يوصلون لنا في الواتس اب ونريد شخص يتواصل معاهم ويتمم بيع خدماتنا عليهم
الشروط لقبولك :
- ان يكون عمل في مجال المبيعات مسبقاً وقدر يحقق نتائج
- لديه مهارة الاقناع والتفاوض
- لديه مهارة التواصل مع العملاء
- يفضل من عمل في مجال السفر والسياحة
- سرعة الرد والتواجد خلال فترتين - فترة النهار و فترة المساء حتى الساعه 12 ليلاً بتوقيت السعودية
- يفضل ان يكون عندك اطلاع كامل عن اغلب الدول السياحية و تصميم المسار السياحي للعملاء
المهام المطلوبه :
- سوف نسلمك باكجات جاهزة و تبيعها على العميل اذا طلبها
- بعض الباكجات غير متوفره فيجب عليك التواصل مع وكيلنا ( بنفس الواتس اب ) لتوفيرها للعميل
- بعض العملاء يطلب فنادق فقط - فيجب مساعدته في اختيار الفندق من موقعنا
- بعض الباكجات غير متوفره فيجب عليك تصميم برنامج سياحي يومي للعميل واختيار الفنادق من موقعنا
- اقناع العميل بشراء الباكج او الفندق والتواصل معاه والمتابعه و معرفة لماذا لم يقم بالشراء بأدب واحترام
ملاحظة :
سيكون العمل مستمر بشكل شهري باذن الله اذا وجدنا عمل رائع معاك",$250.00 - $500.00,30 يوما
124,إضافة نشاط تجاري على Google Maps,"السلام عليكم
مطلوب إضافة نشاط تجاري على Google Maps
عندي مؤسسة نقليات واريد اضافتها على نشاط خرائط جوجل",$25.00 - $50.00,5 أيام
125,حملة قوقل يظهر الملف التجاري في قوقل سيرش,"انظر للصور حتى تعرف اي حمله اريد
jpg Screenshot٢٠٢٤٠…One-UI-Home.jpg (444.41KB)
jpg Screenshot٢٠٢٤٠…٦٥٦٣٩Chrome.jpg (416.65KB)",$25.00 - $50.00,1 يوم
126,إدارة حسابات لينك اند بالإضافة لبعض حسابات السوشيال ميديا,"-القدرة على تحليل المنافسين
- تحليل الوضع الحالي لحسابات المؤسسة و اقتراح تعديلات و البدء بتطبيقها
-اعداد خطة محتوى شهرية / أو أسبوعية و تنفيذها
- لديه معرفة في تصميم منشورات السوشيال ميديا للحسابات و تصميم ريلز مناسب الانستقرام و التيكتوك سناب شات
- كتابة محتوى على التويتر بشكل يومي
- متابعة الخوارزميات و تحديثاتها
- القدرة على عمل تقارير أسبوعية
باهم النتائج و السلبيات و طرق حلها
ـ لديه الخبرة بعمل اعلانات ممولة
ـ القدرة على متابعة التريند ومواكبة التحديثات",$25.00 - $50.00,30 يوما
127,استلام متجر إلكتروني,"استلام متجر في الانستقرام لبيع معدات القهوة، و الرد على العملاء، و النشر المستمر.
المطلوب استلامه
النشر على الانستقرام، الرد على العملاء،",$50.00 - $100.00,30 يوما
128,تحسين ظهور منتجات في نتائج البحث,"السلام عليكم ورحمة الله وبركاته،
لدينا متجر الكتروني يستهدف الدول العربية و بخاصة دول الخليج و مصر و العراق والأردن.
نرغب في ظهور ٥-١٠ منتجات ضمن اول ثلاث نتائج بحث في جوجل.
Dunyaya.com
عدد المقالات
١٠",$25.00 - $50.00,7 أيام
129,ربط بيكسل المنصات الإعلانية بموقع ووردبريس,"السلام عليكم مطلوب شخص متمكن لربط صفحات هبوط ببكسل منصات الإعلانية فايسبوك , تيك. توك , سناب شات",$25.00 - $50.00,1 يوم
130,نحتاج متخصص SEO فنان محترف وخبير,"السلام عليكم ورحمة الله وبركاته
قد تكون المعلومات بالأسفل غير كافية لتقديم عرض سعر دقيق، ولكن بناءً عليها أرجو تقديم عرض سعر تقريبي أولي، وأرجو قراءة الوصف جيداً والتأكد من أن عرضكم مناسب لما في الوصف، كما أن السعر المتوقع المكتوب في المشروع وكذلك الوقت المتوقع غير دقيق فلا داعي للانتباه له ..
**ملاحظات:**
1. تم العمل على تحسين محركات البحث للمتجر لسنوات.
2. لدينا كافة التقارير التي قد يحتاجها مقدم الخدمة لينطلق في عمله بأسرع وقت ممكن.
3. بالفعل حالة المتجر مدروسة وتوجد خطة لتحسين محركات البحث، ربما تحتاج للتطوير قليلاً
**مسؤوليات مقدم خدمة تحسين محركات البحث:**
1. عمل خطة واستراتيجية لتحسين محركات البحث لمتجر السويد الإلكتروني تتضمن رصد للمشاكل التي ينبغي إصلاحها وخطة مستقبلية واضحة لزيادة الظهور وزيادة النقرات من خلال كلمات مفتاحية متناسبة مع المنتجات خلال مدة زمنية )مدة إنشاء الخطة( قدرها أسبوعين
2. فحص الموقع بشكل مستمر واستخراج المشاكل وعلاجها إن كانت قابلة للعلاج، أو تقديم توصيات للشركة لعلاجها، وطبعاً تحسين سرعة الموقع وأدائه.
3. تتبع ظهور المنتجات وترتيب الصفحات في نتائج بحث قوقل.
4. وصف المنتجات بعدد 100 منتج شهرياً، يجب أن يكون الوصف احترافي، متوافق مع السيو، غير طويل بشكل يجعله غير قابلاً للقراءة، )صحيح فنياً) لم يتم تحديد من سيقوم بكتابة المعلومات الفنية الخاصة بالمنتج، هل هو مقدم خدمة تحسين محركات البحث وذلك عن طريق البحث وإيجاد وصف المنتج من المواقع المنافسة، أم أن شركتنا ستقوم بكتابة المعلومات الفنية الخاصة بالمنتجات( ، مع تثبيت نموذج موحد واحترافي للوصف بحيث تكون جميع المنتجات متسقة )أو على الأقل المنتجات من نفس الفئة(، يشمل الوصف كتابة الميتا ديسكربشن وتحسين الرابط الخاص بالصفحة، والتايتل تاج والهيدينج تاجز الموجودة داخل الصفحة ، وغيرها من ممارسات السيو المعروفة.
5. تحسين محركات البحث للصفحة الرئيسية وصفحات التصنيفات وصفحات العلامات التجارية، )لم يتم تحديد عدد الصفحات التي سيتم العمل عليها حتى الآن(
6. زيادة موثوقية الدومين وذلك بإلغاء أي باك لينك قديم غير جيد وإضافة باك لينكس جديدة بمعدل 100 باك لينك خلال الشهر على أن تكون هذه الروابط ذات صلة بمحتوى الموقع وذات جودة عالية
7. عمل روابط داخلية تساعد على الأرشفة وتكون مدروسة متعلقة بالمنتجات وليست عشوائية
8. التأكد من الأرشفة الصحيحة للصفحات، وحل مشاكل الأرشفة المختلفة.
9. تحديث وتطوير ملف السايت ماب، وكذلك ملف الروبوتس
10. تقديم المشورة للشركة فيما يتعلق بتحسين محركات البحث، مما هو خارج عن مهام تحسين محركات البحث، مثل تحسين تجربة المستخدم، التسعير، جودة الصور, وغيره ..
11. تقديم التقارير الكافية بشكل شهري بما تم تنفيذه وبمؤشرات أداء الموقع المرتبطة بتحسين محركات البحث
**المواصفات المطلوب توفرها في مقدم الخدمة:**
1. خبرة جيدة في تحسين محركات البحث خصيصاً في التجارة الإلكترونية
2. قدرة على التخطيط لتحسين محركات البحث ووضع استراتيجية احترافية لزيادة الظهور وزيادة النقرات
3. محترف في استخدام برامج تحليل البيانات المختلفة وقادر على استخراج بيانات مفيدة منها تمكنه من اتخاذ قرارات صحيحة
4. شبه متفرغ يعني غير مرتبط ب 15 مشروع آخرين! ، لأنه عدد المنتجات في متجرنا أكثر من 2000، وعدد التصنيفات كثيرة ومتشعبة.
5. خبرة في التعامل مع تحسين محركات البحث على منصات التجارة الإلكترونية في السعودية مثل سلة وزد، وعارف خباياها وأسرارها ودهاليزها ومشاكلها.
6. عنده مهارات بحثية عالية.
7. عنده القدرة على كتابة محتوى منسق احترافي متوافق مع أفضل ممارسات تحسين محركات البحث، وعنده قدرة على الكتابة بدون أخطاء إملائية، وإذا لم يكن كذلك فيستعان بكاتب محتوى آخر يتعاون معه في كتابة المحتوى.
8. عنده معرفة بأفضل الممارسات التي تحسن من تجربة المستخدم.
9. عنده القدرة على الإفصاح بالتفاصيل الفنية الخاصة بعمله، لأنه سيعمل مع بالتعاون مع موظفين آخرين يعملون في صلب تحسين محركات البحث وتحسين تجربة المستخدم.
10. فنان في التعامل مع قوقل سيرش كونسول ويعرف مشاكل الأرشفة المختلفة ويقدر يحلها.
**مسؤوليات والتزامات الشركة:**
1. تعزيز ونشر وتحسين الهوية التجارية الخاصة بالمتجر
2. النشر على مواقع التواصل الاجتماعي وخطة تعزيز انتشار الموقع
3. صور المنتجات والفيديوهات والتسعير المناسب وما إلى آخره
4. تحسين تجربة المستخدم من ناحية الترتيب الصحيح والمناسب للمنتجات وغيرها ووجود التصنيفات والتقسيمات المناسبة والفلاتر التي تساعد المستخدم على الوصول للمنتج الذي يريده
5. الرد على العملاء في كافة قنوات التواصل ومن ضمنها المتجر الإلكتروني",$500.00 - $1000.00,30 يوما
131,تحقيق هدف مشاهدات اليوتيوب,تحقيق عدد الساعات المطلوبة لتحقيق الربح على منصة اليوتيوب,$25.00 - $50.00,3 أيام
132,تصميم شعار وهوية بصرية وبروفايل,"احتاج تصميم شعار
و بروفايل 4 صفحات
وهوية 3 عناصر
- اوراق رسمية
- ختم
- بزنس كارد",$50.00 - $100.00,4 أيام
133,مطلوب فك حظر واتساب اعمال للضرورة وفي اسرع وقت,"مطلوب فك حظر واتساب
لنشاط تجاري ( واتساب اعمال )
للضرورة في اسرع وقت
ويكون عند الشخص تجربة سابقة
علماً لم يكن هناك اي مخالفة لسياسة الواتساب
التطبيق رسمي
لم يتم ارسال لناس كثيرة
لم يكن هناك اي تلاعب في الواتساب",$25.00 - $50.00,1 يوم
134,إدارة وتسويق موقع على منصات التواصل الإجتماعي,"شركتنا المزدهرة تبحث حالياً عن خبير تسويق رقمي متميز لينضم إلى فريقنا المبدع. إذا كنت تتمتع بشغف التواصل مع الجماهير وتمتلك فهماً عميقاً لاستراتيجيات التسويق عبر وسائل التواصل الاجتماعي، فإنك قد تكون الشخص المثالي الذي نبحث عنه!
سيتضمن دورك:
- التصميم
- إنشاء كتالوجات للمنتجات على منصات الإعلانات.
- تطوير وتنفيذ استراتيجيات التسويق عبر وسائل التواصل الاجتماعي.
- إدارة حملات إعلانية استراتيجية.
- زيادة التفاعل والمشاركة عبر منصات متعددة.
- تحليل البيانات وتقديم تقارير فعالة.
- إبداع محتوى جذاب بصرياً يتفاعل بفعالية مع جمهورنا.
الهدف المحدد هو السوق الكويتية.
تحت التجربة لمدة اسبوع وبمرتب شهري
(( في حال كانت عملك احترافي وكنت انت الشخص المطلوب فعلا سيتم رفع مرتبك ))
منصات التواصل الاجتماعي
انستقرام - تيك توك - قوقل ادس - سناب شات
المعلومات المتوفرة
https://trendykuwait.com/",$50.00 - $100.00,30 يوما
135,مطلوب مختص باعلانات الانستقرام,"السلام عليكم
لدي متجر اشتراكات أي بي تي في
وارغب بعمل حمله إعلانيه مموله وقوية على الإنستقرام
احتاج شخص قد عمل حمله إعلانيه لمتجر اشتراكات رقمية أو بنفس فكرة متجرنا
لأن أنا بحاجة لشخص جدا متمرس
قنوات الإعلان
انستقرام
المعلومات المتوفرة
بيكون فيه ميزانيه يوميه للحمله بقيمة 50-80$ وممكن نرفع مع الوقت
المطلوب استلامه
تنفيذ الاعلان الممول وادارته لمدة شهر
الحمله تكون على حساب المتجر عبر الانستقرام",$100.00 - $250.00,1 يوم
136,حملة إعلانية Sports,"حملة إعلانية علي محركات البحث جوجل
تشمل اختيار الكلمات البحثية المناسبة وتجهيز الحملة
مع اختيار الكلمات الرئيسية والكلمات السلبية وتجهيز الحملة كاملة
مع التقارير
شكرا",$100.00 - $250.00,15 يوما
137,تحسين ظهور SEO والعمل عن بعد,"مرحبا،
منصتنا الإلكترونية تعمل في تسويق منتجات الأثاث، ولدينا الرغبة بالعمل مدة شهرين عن بعد لأعمال تحسين الظهور SEO",$250.00 - $500.00,4 أيام
138,كاتب محتوى سكربت موشن جرافيك باللهجات الخليجية والإماراتية,"السلام عليكم
أحتاج كاتب محتوى سكربتات وسيناريوهات موشن جرافيك (تسويقية) يتقن الكتابة باللهجة الإماراتية خاصة، والخليحية بشكل عام.
للعمل على مشروع من 500 كلمة، مقسم لعدة مقاطع بعضها 10 ثواني، وبعضها 15 ثانية، و30 ثانية أو أكثر.
يشترط الإبداع في الكتابة وعدم استخدام أدوات الذكاء الاصطناعي في الكتابة، ومراعاة علم كتابة المحتوى وكتابة الإعلانات، والمعرفة بكيفية تحديد شخصية العميل المثالي، ومعرفة مشاكله أو خلقها، وتوجيه المحتوى أو الإعلان المناسب له واستغلال المشاعر والعوامل الرئيسية للعناوين الخطافة والمحتوى الجاذب، حتى لا يمل المستمع والمشاهد، ويبقى يكمل المقطع للنهاية.
بحيث يتم تزويدك بنبذة عن النشاط التجاري لكل سكربت، ومنصات التواصل الاجتماعي أو الموقع الالكتروني الخاص به، وبعض الملاحظات المراد أخذها بالحسبان، لتقوم من جهتك بدمج كل هذه الأمور لتخرج لنا بسكربت إبداعي وجذاب ويوصل الفكرة بأقل عدد كلمات.
1 - يرجى تقديم العروض (فقط) ممن يتقن الكتابة باللهجات الخليجية فقط.
2- إرفاق نماذج اعمال سابقة لسكربتات فيديوهات موشن جرافيك تسويقية من كتابتك.
3- وعرض السعر.
مع جزيل الشكر",$50.00 - $100.00,15 يوما
139,إدارة منصات التواصل الإجتماعي,"دورك:
تطوير وتنفيذ استراتيجيات وسائل التواصل الاجتماعي المثيرة.
تحليل مقاييس الأداء.
إنشاء محتوى جذاب بصريًا يتفاعل مع مجتمعنا.
المتطلبات:
خبرة مثبتة في إدارة وسائل التواصل الاجتماعي.
مهارات إبداعية قوية تتناسب مع الجماليات الإسلامية.
مهارات تواصل ممتازة وجذب للمجتمع.
معرفة بأدوات التحليل واتجاهات وسائل التواصل الاجتماعي في المجال الإسلامي.
يجب أن يجيد اللغتين الإنجليزية والعربية
انضم إلى فريقنا واعمل عن بُعد، وتواصل مع العملاء وكن جزءًا من التغيير!
الامتيازات:
راتب ثابت شهري
مكافآت أداء",$50.00 - $100.00,7 أيام
140,إدارة الحملات الإلكترونية,"سلام عليكم، احتاج شخص يدير الحملات لمتجر الإلكتروني كانت مبيعاته فوق ١٢٠ ألفا والآن على وشك الموت، وهنا التحدي أنك تنقذ متجرا من الخسارة وراح يبان فيها شغلك ومعدنك وملاحظاتك وخبرتك، المبلغ قابل للتفاوض
مدة العمل
2
المطلوب استلامه
ادارة الحملات - المتابعة",$100.00 - $250.00,9 أيام
141,مدير حملات إعلانية لمتجر إلكتروني متخصص بالتجميل,"مطلوب متخصص حملات إعلانية لمتجر إلكتروني متخصص بالتجميل
الهدف من هذا الدور هو إدارة الحملات الإعلانية لمختلف المنصات الإعلاني.
المهام الخاصة بهذا الدور:
- وضع خطط وأهداف شهرية، أسبوعية، يومية وتحقيقها للحملات الإعلانية وتنفيذها
- تحسين وزيادة نسبة الحالات الناجحة للمتجر
- تطور وتحسين المبيعات بنسبة محددة شهريا من خلال الحملات
- مراقبة المنافسين وعمل أفضل ما توصلوا إليه-
إنتاج طرق جديدة للتسويق والنمو
التقارير الدورية المطلوبة تقرير الأداء الشهري ويشمل:
عمل تقرير كامل نهاية كل شهر (إنجازات، المبيعات ونسبة الزيادة، نسبة تحسين التحويلات، الإنفاق ، الصرف، نسبة تحقيق الأهداف، أهداف الشهر المقبل)
(سيكون العمل لمدة شهر كفترته تجربة، ويمكن أن يصبح عقد سنوي أو شهري على حسب طلب المستقل في حال تحققت الأهداف)",$250.00 - $500.00,30 يوما
142,إدارة وتسويق متجر إلكتروني كامل,"لدي متجر إلكتروني وأريد شخصا محترفا لعمل الربط بين بكسلات المنصات الإعلانية (قوقل أدس، تيكتوك أدس، انستقرام، سنان جات) وبين المتجر الإلكتروني الاستهداف سوف يكون في دولة الكويت،
إنشاء خطة تسويقية وعمل حملات إعلانية وإدارتها بشكل احترافي وعمل كتلوجات للمنتجات في المنصات الإعلانية ويجب أن يكون محترف في الإعلانات والاستهداف بشكل صحيح لتقليل التكلفة الإعلانية والهدف الإعلاني هو زيادة المبيعات، وكذلك تحسين ال Ceo للموقع وإعطائنا تقارير أداء للحملات الإعلانية بشكل أسبوعي
وتصميم صفحات هبوط للمنتجات والاعلانات.
لمن لديه الخبرة الكافية والاحترافية يرجى تقديما كيف من الممكن أن يعمل معنا وما سيقدم لنا في عمله
العقد سيكون شهري فترة تجربة أسبوع للعمل
من الشكر والتقدير.",$250.00 - $500.00,30 يوما
